,target,Tweets
55,0,D: I have to stay at the hospital another day!!  I WANNA GO HOMEEEEE. Forget the hemoglobin transfusion! HOMEEE.
56,0,@OSSAgent19 I hope I didn't miss you.  But my computer is crashing and burning so I'm not sure how well Skype would work anyway.  Sigh.  
57,0,"not good, jonas brothers movie coming out tuesday, and im broke "
58,0,grrrrrrr I can't open my emails 
59,0,Last full working day in 18a HQ! 
60,0,It's on LJ. But its not on youtube 
61,0,starts summer school today 
62,0,@AudioBooTH  the batch upload button is broken on spush 
63,0,Doesn't anyone do #80stweets any more? 
64,0,@fs360 don't know! 
65,0,@JPcashcash if you see this...since your in GR tonight you should come see me in Muskegon since I can't make it to the show 
66,0,@eblahovec I was actually applying for jobs and the person that I was with was from Work One.  Yes it is hot 
67,0,burnt my finger on the oven 
68,0,@JoshwaHudson hahah i've already got my white one and green one in the wash. i for some reason can't find the rest... 
69,0,@angelasiracusa I'm going to pay you to ship them to me. You don't understand how I'm wiggin. That's all I wear at my parents' house 
70,0,"Had fun at the lake yesterday; but got really burnt, ouch "
71,0,"Murray murray murray mania! I'm not buying into it, Tiger Tim let me down too many times   http://mypict.me/5CkW"
72,0,Oh wonderful. Flight delay. I'll get into prague after 8 now 
73,0,On lunch and I don't have any food  what am I gonna do 
74,0,ughhers why is it sooo hot.. they pools too cold to go in 
75,0,outside doesn't look like a Summer day 
76,0,"@stephmccall umm I am guessing about 7 but I am not eating dinner, the only thing is we are going to be sweaty and I have just showered "
77,0,"Where did a panda come from in RM... it's supposed to be a BIG PURPLE ELEPHANT, WTH! They couldn't find a purple elephant at a carnival! "
78,0,@LizGiangrande Like there's this emptiness inside me. I wish i got a chance to say bye properly to every single person. Idk what to do! 
79,0,went for a rnd of the closest (legal) thing to weed but still not high 
80,0,"@wankelrx yeah it has been in the upper 90's with heat indexes over 100 everyday this week. I want to go riding, but it too hot "
81,0,@YunaKins92 dang I wishhhh!  but I'd have to leave now and I'm still in my pjs
82,0,@natalieox Its still in the plastic wrapper so she would know!! And my mum and dad wont let me  xx
83,0,Going to make a national holiday &quot;give me(Sammy) money day&quot;  I wish..
84,0,ugh. stuck inside on a beautiful day 
85,0,Noooo I dont want to go to work  . and why the eff does twit pic take so damn long to upload photos. .
86,0,VERY slow day... These are the days I don't so much like my desk job  Got to think of a reason to get up and walk around... Lol
87,0,"Mexico/Belize/Guatemala: &quot;SexyBack&quot; by Justin Timberlake. It was a fun song song, although my iPod died early in the trip. "
88,0,@Tsaksonakis Yes thanks not been on twitter much lately; not alot to say really; seems to have died down a bit 
89,0,Now I understand why new kids say it's easy to make friends at Lab. I have difficulty at Neuqua. Guess I'm there for training not friends 
90,0,"my princes pre-k graduation was today, most beautiful thing i ever seen i actually cried, mah baby got soo big before my eyes "
91,0,"wow does anyone else miss &quot;One Saturday Morning&quot; with shows like Doug, Pepper Ann, Recess, etc.? I do "
92,0,@WynStayFly WYNS!!!!!! miss u boo....no invite 2 LA???? 
93,0,@stationstops ugh I am so sorry that happened!!! That sucks. Pamper her tonight to ease the bad memory.  glad she wasn't hurt.
94,0,@TinyLollipops holding up ? not good at all  stressed! i dont wanna do this anymore!  
95,0,can't have bubbles cuz my hubby has both bubble bottles. 
96,0,"the beach yesturday was fun, besides my big sun burn in my back "
97,0,I'm not happy.... why? 
98,0,"@sinca  Exactly, but sadly everyone was pretty good last night, so if Jason is in bottom 3 again, he might go home. "
99,0,@AberdeenFC Severin was excellent when motivated. Just a shame I only seen him motivated about 6 times in his last two years 
100,0,@Georgiazz *cuddles back* - I miss you 
101,0,nooo i hear thunder 
102,0,Thanks to @LarissaBina the blood gushing out of me will hopefully stop...what idiot drops a knife and stabs herself 
103,0,"@markosm Alas, I cannot.  I am weak. Yay."
104,0,soo pissed off 
105,0,@heidimontag great song heidi!! is it available on itunes yet? oh and i wish that you didn't get sick and could've stayed in the jungle 
106,0,@zeryck you should pre order tomorrow to gt the $49 home premium.  me wants one too.... 
107,0,"Dude at AT&amp;T tech support sounded exactly like Borat, I had no idea what he was saying and Im still Internet-less "
108,0,"so u feel what I feel eh? when u'r a fan of something, li'l things from them mean a lot to u. why ignore me? "
109,0,if I passed or failed. God I'm so nervous! 
110,0,@drewdiamond it doesn't work on my pc 
111,0,Everyone seems to be going on holiday  at the moment. I feel so left out 
112,0,Weilin doesn't know what's twitter!  She is using plurk instead WHAT?!?!
113,0, Just learned that the hockey area is now filled with stupid cars.
114,0,grr. why is it sooo hot.. they pools too cold to go in 
115,0,Thunderstorms have ruined my plans 
116,0,@DJEQUE scorching hott here in austin 
117,0,mom wont take me to borders to get @HeatherBrewer new book. Now im bummed 
118,0,so not in the mood for gym class. still ache from dance audition yesterday 
119,0,@davidolski that makes my heart break 
120,0,oh my... excitment is over... they printed the wrong image!!!  i guess 2 out of 3 isn't bad... 
121,0,thinking about lunch.....yeah.. THINKING 
122,0,@Ms_MeMe @Romeo awwww poor metria!! 
123,0,I dont have a clue what I'm doing 
124,0,@as_i_am_4 I wish I got paid to dance too-- Id be PAID! lol but with no benefits  Boooo!
125,0,@ShaunaMifsud awwwh.. I would have been gutted too  tinchy stryder!! Haha! You take a pic of him? xxxx
126,0,50 dollars short of the new car stereo I wanted  7-on-7 tonight against Manchester
127,0,@sowrongitsjason LMK how it goes! I can't watch it 
128,0,Nope hes not in 
129,0,"@diamondhead94 Yeah, but when your private you don't get to find new friends as easily. "
130,0,"why when you need someone besides you , you dont find him  !!!"
131,0,"@hptwilighter Sadly, no all i've got in a normal camera and crappy recording stuff "
132,0,@cawowine i caaannntt  im poor right now :/ haha.
133,0,Thats do weird @kalemeow so am i. Was waking up all cold and shit 
134,0,@alexcovic wrong url 
135,0,@gregdelima Agreed! 
136,0,@LiaaaJane WE MUST GO SEE CALVY HARRIS IN NEWC 
137,0,@JelliBeen92 its on LJ but not on YT  and there's no kiss at the end 
138,0,"@jenniish omg, i want to be 17 again. "
139,0,@JJaneBB would love to 
140,0,@whatadam  my brains hibernating. Give me cofffeeeeee
141,0,"Just finished taping the radio program with @thenote and @laurameckler. Ended with Lindsey Graham intvu. Interesting, but no news. "
142,0,@BrandiLinnea You actually like the CP? It made my hair dry up and look like a cotton ball  Fantasiaq IC will give you the same results
143,0,feeling so sad  i just realised..it's difficult to be wise..*sigh*
144,0,I hate watching people's break-ups play out on Twitter 
145,0,@WeSupportNiley whats wrong? 
146,0,It's telling that there is no Eircom rep among the talking heads in today's Digital Ireland special on infrastructure 
147,0,My life sucks 
148,0,@Guelsah still not received my card yet? 
149,0,got so sick last night.. my stomach still feels so queezy  cuddling w olive to make me feel better haha
150,0,"@cookiedorksx3 babiii  we need to talk soon! when u get on at yt, or twitter or msn SAYY xD cause later i'll be on ;D ilusm"
151,0,omg--can i please find a way 2 leave this after party? perpetual f'in vegas. 
152,0,"@GeekyClean I would enter your contest, but I have no idea what the soaps are made from, and I have many allergies... "
153,0,Headache 
154,0,@JJMOTHAFOKINKEO 
155,0,"Bot/spam followers are getting annoying. Blocking them, it doesn't help at al. They keep staying on my list of followers. "
156,0,"@Ant Radford, Yes however theres no quick reply option, I would like to be able to click your name to reply but that dont work "
157,0,"@BradleyRoss oh Brad  I am so sorry for you guys --thoughts with you, friend."
158,0,"@BradleyRoss oh Brad  I am so sorry for you guys --thoughts with you, friend."
159,0,So busy today and not feeling the greatest ... gonna b a long day 
160,0,@himalikiran very sorry to hear that 
161,0,wishing my computer wasn't broken. 
162,0,@peterfacinelli everytime I try to enter the contest I get a site offline message! 
163,0,feeling better . wants somee food. but feels FAT 
164,0,"Aww, the free Sugar Ray show tonight was cancelled.    We had tickets.  At least they were free..."
165,0,- one hour not so voluntarily overtime... not too happy. 
166,0,At The Fence in Farringdon with some work colleagues. No tables free outside 
167,0,@ramirezdavid that jerk Mandy Moore stole my future husband Ryan Adams from me!  quite depressing! LOL
168,0,stress induced stress. who knew? 
169,0,@jeezyfosheezy si sir  still in admin.. its so slowww todayy
170,0,Dont listen to her she doesnt eat anything! Lol   Lonelyandroid ):
171,0,@nycdoll24 I gave him mine. He never called though 
172,0,Wants iced tea mango shake now.  http://yfrog.com/4rxpuj
173,0,The Mozilla guy is the worst slide maker ever. Hope to get a picture of it soon... But it is bright yellow on a saturated blue background 
174,0,Just came back from class outing and is exhaustedd! Had tons of fun and wants the next one to come asap. Sad cause we didn't Ton 
175,0,@deathcabfor_me i shall miss you if i haz no interwebz. 
176,0,"Yeah, he's cute...but right before this pic he puked all over the passenger seat   http://twitpic.com/8dra8"
177,0,Watching the secret life and it stopped working 
178,0,I been sleep in my office all morning. still don't feel good  but I guess I should work now.
179,0,"please wake up, windows live, its urgent "
180,0,da good ideas gone 
181,0,@sonicreducer  that's why I always set my expectations really low. I hope things get better
182,0,needs to find a happy place.. rubbish day 
183,0,"Listening to Chris Clark - Growls Garden, while downloading the Armed Assault 2 PC Demo. Its 2.8 GB big &amp; dling @ 80 kbps  only 10hrs 2 go"
184,0,@Tivon isn't it a great idea? Awww your back got even worse? I'm so sorry. My foot is still in a cast so I can empathize in a way 
185,0,"@gamingangel for me its way too late, worked all night  sucked"
186,0,"On my itinerary, Ryan mentioned a GPL interview with the Gazz.  Hell, we didn't even get a mention in the Gazz calender. Feeling unloved. "
187,0,WAR room here i come 
188,0,Funerals suck  was quite an honor to be at the armed forces cemetary though
189,0,"I guess my workstation PC will be a Core i7 920, with 6 gigs of ram, and a geforce 280 gtx. It'll be pretty wicked. Not a mac though "
190,0,It is sooooo hot today 
191,0,This week is not a good week 
192,0,@Marshalus StatusNotifier doesn't work. 
193,0,i seriously need to let all my thoughts out but there's nobody i want to talk to on msn 
194,0,@jessiefulks Awwww poor @caseyshayne - why so sick? 
195,0,"@varshamohan She is my classmate and good friend. And yeah, the ugly git in the profile pic is me  "
196,0,why is my dumb small town out to show me how perfect my small little world is: if you ride your bike in the park everyone's lol at you! 
197,0,"Just had lunch with tom, now going to work camp. Last day "
198,0,missing my daughters much 
199,0,@_lyve its hot as hell 
200,0,Ugh I'm sick again!  I'm blaming it on my office....it's always FREZING in there.
201,0,"Work, work, work "
202,0,"I'm at campus. Last summer, was the best. Too bad my Fuffy Buns, Vanesssa can't go this year I miss my friend in Asia "
203,0,"my 100th annoying message! does anyone care? think not!  i have take a shower 'n get ready for work. sweet dream, super junior ^o^"
204,0,Sore throat... I'm sick 
205,0,is upsets. He's really mad this time 
206,0,"Woke up with my head feeling like it'd been split in two, generally feeling icky today. I hope I didn't catch Sage's cold. "
207,0,Just locked my keys in my car.. No lunch for me. 
208,0,No Disciple talkback in YLO tent. Replaced with Stellar Kart.   #creationfest
209,0,Dream: I was having an argument and losing 
210,0,i have a realllllyyy bad feeling about this vacation. 
211,0,joey is super sick  he breaths heavily and is very weak. he's sleeping in mommy's bedroom atm
212,0,has just got home!  what a journey home!
213,0,"@Tasharri @BBKwieen @SexyBeach , I WILL learn. She's a convienence at times. My smoking,clubbing and NYC buddy! "
214,0,gets worried when people he care about suddenly &quot;disappear&quot;. What did I do now? 
215,0,@some_devil41 i wish it was a pizza. gosh i'm glad we live together because if we didn't i'd NEVER see you 
216,0,@TawagPromotions You think that i'm still a stranger 
217,0,UGH! i MiSS MY FONEEEE  SOOOO DEPRESSED!
218,0,@sexxyblackinese no  they said you could loose feelinqs and not be able to have a orqasm
219,0,@fountain1987 Just been watching your last few episodes of Hollyoaks...u are such an AMAZING ACTOR.!!! missing u on the programme  xxxx
220,0,@peterfacinelli I can't enter the contest! Is it not up yet? 
221,0,1/2 a chapter done but have to go run errands 
222,0,"I was excited about @OxygenRadio there for a moment, a purely online radio station that sounds proffesional, then I hear GCAP VO's -ouch- "
223,0,i give up! i did everything i could 
224,0,"@deighe_d yeah, Twitter lately = EPIC fail  "
225,0,"@paulabbey Oh, so you DO still Facebook... "
226,0,@1041pm THERE IS NONE for black berry lol! There's a way to make it caps without having to hold the shift button but idk how to do it  
227,0,Just had a great sandwich. Now I'm chillin' for an hour before I have to work from 1:30-9:30. Blaaaah. 
228,0,@stefftsk without Holly? 
229,0,"@blakehealy http://twitpic.com/8douf - i wish i was there with you  but im Italian... and i won't see u in concert, im too far. im dyi ..."
230,0, now I remember why I let my bangs grow out ..  hopefully I can get them to lay flat before work
231,0,(SexiiCOn BOW]]  Ihad a dream that all of the HATERS in the world died  It was sad b/c there was nobody 4 us 2 STUNT on! Thx God for h ...
232,0,cant take watchin NeDa die like that. so heartbreaken 
233,0,Transformers 2 was pretty cool... Couldn't see Isabel Lucas as anything but 'stupidflowerbitchfromH&amp;Awhogetsimpregnatedbyevilcult' though 
234,0,packing up to go home 
235,0,drama on facebook and thunder clouds = just peachy 
236,0,@offendedblogger welcome back ms thang! Joe is in the hospital. 
237,0,"Chris is getting braces put on right now! So happy for him because he's waited a long time, so sad because I remember having them-not fun "
238,0,"@shmerin alright u go girl, i haven't done a half in a long time "
239,0,@TomboyTigress but i don't wanna goooooo 
240,0,Shopping equals awful . . . Especially when i have no money.  but i found a gorgeous dress for the wedding!
241,0,and the rain is here again! 
242,0,Bloody highland show holding up all the traffic! Been waiting on my bus for ages 
243,0,English Essay 
244,0,Everything reminds me of you 
245,0,@drfired it was ok. Not better than the Miami Elite events. 
246,0,@xrayspecs LOL  no...that's not it.  I found out they are looking for a missing boater 
247,0,@tanyabrooke me too 
248,0,"i hate storms  i woke up to to the sound of hail hitting the house, i thought my room was gonna cave in on me"
249,0,Drunk guy outside work not having a good morning.   http://twitpic.com/8drib
250,0,"Finally, my long lost cousin, Kevin has gave me a call from US. Glad to hear that he and aunt are doing good. Now I start missing them.. "
251,0,"@mosrite69 When mothers decides it's ok , then violence against unborn  children is  fine.  But you said it was alway wrong "
252,0,"Cake's baked and just needs to be decorated now... laundry's in, dishes are half done. Not feeling well "
253,0,God I love geneseo. Eating aunt cookies on front porch at main cuz I already gave ali my keys  haha
254,0,@paula_abdul_fan tht doesnt work either 
255,0,"ohh wait, did me and my bro just talked? awh.  i gotta admit i missed messin around with him. :&gt; i hope its a start. ;)"
256,0,I just want to spend the 4th of July sea kayaking in Valdez. 
257,0,I dont feel good. 
258,0,Lunch time... I think it might be too hot to eat outside. 
259,0,"awman, i was so excited to watch Transformers 2 all week, and now, i might not even get to watch it on Saturday "
260,0,when you've ordered something don't you think its right that you should fucking get it 
261,0,@craigritchie I get failed security errors every time I try the Prototype Experience 
262,0,@rosstrich Where do you live that you get to keep tweeting about rain? I haven't seen a drop 
263,0,@fiofo LOL. No mention of meerkats though. Sad times 
264,0,@BethFishReads Ouch...I hate tooth issues 
265,0,"just recorded somebody to love, sadly this mic is a bit shite so its not v good quality "
266,0,"Reminiscing, but it makes me sad. "
267,0,Ahhhh only 2 more days till I go back home!!!! I'm dreading the heat tho 
268,0,"@aiyanasimone I didnt yet...Its hard n i need help!!  Actually sumone just needs to hand me a job, then ill be happy"
269,0,volleyball hurts........... 
270,0,food poisoning from college cafeteria.im sick 
271,0,@sarahjericho are you coming online? got nobody to talk to 
272,0,"Now approaching The Fat Cat on my walk home, must resist the urge to go enjoy their beer garden with a pint...things to do tonight "
273,0,Well I missed that opportunity. Thought you were getting the same train 
274,0,"@bigedude33 Aww, that sucks.  Maybe you should take a nap?"
275,0,depressed but still have to work on my interview talk 
276,0,feeling for a cuddyz burger... but cuz courtney decided to be Mr. CHEAP i cant... sigh realy wanted one 
277,0,Today is my birthday but I didn't get any cake! 
278,0,I am avin a crapbday dropped meatballs all over my jeans 
279,0,"@giny no, I think that clearly the problem is I can't golf. Also, I'm now ever-so-slightly confused by this metaphor "
280,0,"@xoJessiee i think its time to forgive, but never forget "
281,0,We have to return all of our books tomorrow... it feels awkward! I'm gonna miss my class 
282,0,The weather report says it'll be 86ï¾F/30ï¾C tomorrow. I think im gonna die 
283,0,@Wossy cant believe you got rubbish like blue on the show 
284,0,This could turn out to be an expensive day. I need a sugardaddy 
285,0,Disneyland blockout days suck 
286,0,@tammydavid why do you have to give sharpei away??  cry cry...
287,0,@djceo365 I looove ledisi!! I use to have her on my missing ipod...a moment of silence please.... 
288,0,@noahfleming took it down  .One last piece I thought made it into the release was missing. Will send you a note when live again.
289,0,needs to learn how to manage her time better 
290,0,"Damn, it's hot today "
291,0,Ä± hate life sometimes cos it can be boring 
292,0,Thinks i really don't get him sometimes  x
293,0,@ak_hepcat Crap! Damn Linux firewalls. Stupid RIAA doesn't know a damn about security. We all know how secure DRM is. Guess I need a job 
294,0,@diddystweet take pictures for me of nordstroms!! They miss me there 
295,0,Just said goodbye to Michael. I'm going to miss that kid terribly 
296,0,FREE HUGS 
297,0,@bettieboudoir since I started working 80-100 hour weeks. 
298,0,My gmail account is 93% full 
299,0,why does it have to be so freaking hot out side....it sucks to work in 
300,0,Home. Feel like I've had a sauna. In my clothes 
301,0,Transformers 2- frantic goofballism for first 20 min does not bode well for rest of movie  
302,0,"@HeatherPark thank you. OMG.. no where has the calgel  Im so sad, I have to venture off into another city .."
303,0,Currently looking for a good service center to repair his car.... 
304,0,Well I missed that opportunity 
305,0,i totally miss itlay 
306,0,@Heather_Paige oh no  where are you?
307,0,"&quot;hey, i'm kevin. ...and who might you be?&quot; kp is terrifying sometimes "
308,0,@rdizzle7 i miss my homie  he was a good friend
309,0,@AnthonyRaneri I wanna be there 
310,0,ughhh i really wanted to go to six flags today but i have so much crap to do for my parents that i had to stay in  Happy Birthday Jackee!
311,0,Wow. Both younger siblings had their wisdom teeth removed this week. That's rough. 
312,0,@Wizpig - social network 
313,0,"Oh no, they have to give me a shot....lawed help me "
314,0,@clinton_kelly Hi Clintooooon!!! why you never reply to me twitts?? 
315,0,of course workers did not show up today. porch will never be completed.  maybe next summer i can enjoy it   don't like contractors
316,0,Ugh dealing with a layout with so many horrible absolute pos'd divs. 's what happens when you tell someone they can't use tables 
317,0,@KevinSwitzer Sunshine Savings Bank (new bank next to Publix @ Lake Ella) got robbed. Guess the weekly bank robbery quota has been met.  
318,0,@jaketoocool i can't see it im on my sidekick 
319,0,"@brianbrianbrian Awwww, we missed you? "
320,0,"Finally up an movin, missed the view tho "
321,0,@h0neyluv baby how come u n cici didn't come to my party last nite   I need ur number beezie
322,0,@sublicon I can probably hook that up. Got 'em myself. They're glorious. I'm @dan_radin. @danradin is somebody else.  Re: Sennheiser HD25s
323,0,"@TNCCinSD been there done that regarding Windows 7 ultimate, just want to know how much to upgrade from win 7 basic is  win 7 rocks!"
324,0,I have no money  But I did have a fucking great day at school (Y)
325,0,@billba How oppressive does it actually get in Seattle. Over 90 and sunny in Chicago. 
326,0,Kind of missed those days 
327,0,"Sittin on the plane, waiting patiently... Feeling ill already "
328,0,@nighthawkJ I want to come to NY sooooo bad...  alright forget Im coming
329,0,@aileenburns I want a kindle so bad. Can't get them in Australia though 
330,0,Ah can't get my mind off HIM  so confused 
331,0,@zelazelo i can't believe i just typed 'alamia' sry mel  it's amalia..
332,0,Dinner done and time to sleep - hate it when my holidays are gonna end -  juat 2 more days to go 
333,0,@Bball4life Sorry to hear about your emergency trip.  Safe travels to you! And thanks so much 4 your kind words this morning!
334,0,@xtineismyhero what happened darling 
335,0,@ShikhaBirdie yummy! i had curd and khichdi! 
336,0,@beth1988 I miss Cider 
337,0,"Hi everyone.Busy day working ,out again tonight so catch up later.Funeral to go to tomorrow "
338,0,I just called Buttonwood and they disnt answer  i wipl call again at 2 haha
339,0,My sister doesn't want to go running with me 
340,0,Last day of vacation... 
341,0,Finally about to get my hair washed...I hate when my stylist is behind sched.  but I love how my hair comes out! 
342,0,@rofl_iron i did too 
343,0,Omg! Twitter is so spammy right now! Search for reboot11 and you know what I mean  #RB11
344,0,@roxannejean I was there for a while.... haha... my fellows left so had to go  and I felt a bit sickies i-D
345,0,is back and missing authentic japanese food 
346,0,Sadened that my buddies are no longer around me at work  can I move?
347,0,MySpace just turned this awesome purple for a second and now it's not purple anymore. *heart breaks* 
348,0,@_Amanda_Young Mine's like that too. 
349,0,@LittleMissNat I still really want that key from the V&amp;A 
350,0,scratch that last twitter... i am worried just worried.  ugh
351,0,@MsCeMontgomery UGH!! 
352,0,Hmm...I keep losing followers. Wonder what I'm doing wrong. 
353,0,I have just registered on twitter. I am typing my first entry. Otherwise I am job hunting on the internet. 
354,0,"my favourite snack is Junior Mints, I eat them all the time, but I eat to many and then get sick the next day, when will I learn  haha"
355,0,@greggles1969 It's almost like the list games on Quizmania too! Gutted. 
356,0,@AnikaRamirez seriously....that was great stuff....now I am sad 
357,0,"My simple little updates to the database server should not be maxing out the network connection, but that's what seems to be happening. "
358,0,Not Fair ! Everyone else gets to go home while I'm still working 
359,0,"@playtimerx931 hm. 1,the notebook.2,titanic.3,a walk to remember.4,august rush.5,king kong. aw  i feel lyk i wanna watch'em again.nyaha!"
360,0,I lost my wallet night before last at the opening of transformers. Lame 
361,0,@tinkissarah oh i want one tooooo  buzzzzzzzzzzzzzz
362,0,I just remembered my library books are overdue...again...more fines for me  I have not even read them yet...I'll renew ONE last time and
363,0,Bored at work. All by myself  #squarespace #trackle
364,0,@CarrieAnnYoung Didn't even attempt Coby.  I miss my Levi.  
365,0,"@EvenAngels Check out this article. Gazz, I'll NEVER be able to play online. I suck too bad. I'd get  booted off in 2 minutes.  http: ..."
366,0,"is burnt, having onion rings and salad for dinner and has a free house till hopefully 10. everything is good, except someone is missing "
367,0,@littledotty defo not hated every single minute no air was flowing through even with the windows open 
368,0,"I so need a job.  My agency is CRAP, the job market is CRAP, my bank account is CRAP, I FEEL LIKE CRAP."
369,0,Why is the line-up for Hard Rock Calling tomorrow so tiny? 
370,0,I hate when you can't get comfortable while trying to sleep in a car. 
371,0,"Back from the morning walk.  Worked up a sweat and I wasn't even outside. 'Course, no exercise is needed to work up a sweat outside now. "
372,0,going to my friend adenike's going away partyy. i'm gonna miss herr. 
373,0,"Watchin CSI, getting ready for work, drive to commerce for a 4 hour shift, see johnny for a sec, come home and clean  blah"
374,0,no more beach today    grad tonight! watching stand by me &lt;3
375,0,i want to buy the book sooooooooooooooooooooooo bad 
376,0,just finished spanish provincial but I can't leave for another hour  gym time after!
377,0,"Well, i was supposed to start work today...but the computers are down  this sucks"
378,0,"@mageofzhalfir Muh. When I drove by McDonalds, I only had 50 pesos left in my wallet so I had to buy the Chicken Fillet meal lang. Fail. "
379,0,@techquo saddest tweet ever 
380,0,"is going to the lake today, wishes my bf would go too "
381,0,"Ugh, i wish i was out in the sun   Cant wait for the weekend!!"
382,0,"@Rococos I want some, but the Girlfriend has the car   I love fresh fruit!!!"
383,0,"major spam email from my facebook   boooo.  changed password.  suggest everyone else do too, make it a regular habit. every 3 months or so"
384,0,@lovesgreyboy i hate people who think u have nothing better to do than wait by your phone waiting to reply to txts!  stupid cow!
385,0,@Mercedes_J Right I hope he's not really going to get rid of his twitter because of it  I already miss brian having twitter
386,0,Doesn't like housing fees... 
387,0,@STYLEMOM All the items I loved were already sold out!! I hate when that happens 
388,0,@AmieLR i know  stupid thursdays! lol
389,0,"More computer delay!    You know, it's hard enough to spend that much money...Dell shouldn't give me so much to time to reconsider!"
390,0,Ouch! My thumb hurts 
391,0,Gosh. It's taking my body a long time to bounce back from my Atlanta trip. Just way too much stress. Been flaring ever since! 
392,0,@pressingbuttons I know it will really put our lives in perspective  olaf will be there until Saturday @ noon
393,0,not doing much at all 
394,0,@ejxi...oh no...ur not allowed to cry  ....just don't pay attention to him..ayyye don't be sad cause then were all gonna be sad with u 
395,0,I hate being sick!  But for some reason it sparks my musical creativity...must research this strange phenomenon...
396,0,Wants to go to Maldives 
397,0,@Miniology Thanks Rob.  The pron app got pulled.  
398,0,@janportfolio I have my colleagues do very advanced air apps.. but they won't be available for freelance works. 
399,0,if u see random stufff in my updates its because of my stupid phone 
400,0,@ShaunahFuegen I can't haz kittenz tonite?? 
401,0,It is only lunchtime 
402,0,Dam just got buzzed by another HUGE fly! This time it landed on my head...not impressed 
403,0,want's to be at glasto 
404,0,@1capplegate Oh thanks for the info: I love John Taylor!! Can't wait to watch! So sad about the cancellation 
